z	10 mm Bz	10 mm Br	28 mm Bz	28 mm Br	48 mm Bz	48 mm Br	68 mm Bz	68 mm Br	88 mm Bz	88 mm Br
-1402.4	-0.00081014	-9.3514e-05	-0.00080647	-0.00016273	-0.00081264	-0.00022569	-0.00081235	-0.0002966	-0.00044904	-2.1151e-05
-1401.5	-0.00079674	-9.4112e-05	-0.00079304	-0.00016266	-0.00079919	-0.00022648	-0.00079901	-0.00029773	-0.00044153	-2.0041e-05
-1400.6	-0.00078318	-9.5145e-05	-0.00077959	-0.00016299	-0.00078568	-0.00022761	-0.00078558	-0.00029958	-0.00043354	-2.133e-05
-1399.7	-0.00076951	-9.5968e-05	-0.00076611	-0.00016334	-0.00077215	-0.00022802	-0.00077201	-0.00030273	-0.00042509	-2.2552e-05
-1398.8	-0.0007558	-9.6236e-05	-0.00075244	-0.00016561	-0.00075847	-0.00023024	-0.00075837	-0.00030446	-0.00041678	-2.2172e-05
-1397.9	-0.00074209	-9.6205e-05	-0.00073868	-0.00016673	-0.00074471	-0.00023165	-0.00074468	-0.00030555	-0.00040823	-2.2839e-05
-1397.0	-0.00072826	-9.7086e-05	-0.00072475	-0.00016875	-0.00073079	-0.00023427	-0.00073092	-0.00030682	-0.00039919	-2.4114e-05
-1396.1	-0.00071439	-9.7344e-05	-0.00071079	-0.00016915	-0.00071685	-0.00023452	-0.00071716	-0.00030705	-0.00038993	-2.4708e-05
-1395.2	-0.0007004	-9.816e-05	-0.00069677	-0.00016986	-0.00070284	-0.00023582	-0.00070335	-0.00030823	-0.00038105	-2.3704e-05
-1394.3	-0.00068638	-9.8391e-05	-0.00068275	-0.00016992	-0.00068878	-0.00023689	-0.00068949	-0.00030922	-0.00037213	-2.3814e-05
-1393.4	-0.00067232	-9.8739e-05	-0.00066879	-0.0001691	-0.00067472	-0.00023703	-0.0006756	-0.00030995	-0.00036321	-2.381e-05
-1392.5	-0.00065808	-9.9939e-05	-0.00065469	-0.00017091	-0.00066054	-0.00023906	-0.00066154	-0.00031371	-0.00035423	-2.3965e-05
-1391.6	-0.00064381	-0.00010011	-0.00064057	-0.00017104	-0.00064636	-0.00023904	-0.00064745	-0.00031433	-0.00034562	-2.2996e-05
-1390.7	-0.00062947	-0.00010067	-0.00062632	-0.00017258	-0.00063211	-0.00023982	-0.00063331	-0.00031545	-0.00033712	-2.2673e-05
-1389.8	-0.00061511	-0.00010082	-0.000612	-0.0001736	-0.00061784	-0.00024002	-0.00061911	-0.00031697	-0.00032848	-2.3075e-05
-1388.9	-0.00060067	-0.00010131	-0.00059767	-0.00017356	-0.00060356	-0.00024013	-0.00060495	-0.00031598	-0.00031883	-2.5753e-05
-1388.0	-0.00058616	-0.00010187	-0.00058322	-0.00017515	-0.00058916	-0.00024196	-0.00059066	-0.00031882	-0.00030926	-2.5548e-05
-1387.1	-0.00057154	-0.0001026	-0.00056872	-0.00017565	-0.00057472	-0.00024291	-0.00057636	-0.00031902	-0.00029958	-2.5834e-05
-1386.3	-0.00055694	-0.00010245	-0.00055414	-0.00017658	-0.00056018	-0.00024454	-0.00056196	-0.00032117	-0.00029036	-2.4598e-05
-1385.4	-0.00054228	-0.00010294	-0.00053949	-0.0001775	-0.00054554	-0.00024635	-0.00054746	-0.0003237	-0.00028169	-2.3143e-05
-1384.5	-0.00052764	-0.00010272	-0.00052487	-0.0001772	-0.00053088	-0.00024697	-0.00053288	-0.00032521	-0.00027294	-2.3363e-05
-1383.6	-0.00051295	-0.0001031	-0.00051012	-0.00017867	-0.00051611	-0.00024873	-0.00051821	-0.00032727	-0.00026418	-2.3369e-05
